InvoiceLineId,InvoiceId,CustomerId,UnitPrice,Quantity,TrackName,Composer,Milliseconds,Bytes,GenreName,AlbumTitle,ArtistName
1,1,2,0.99,1,Balls to the Wall,,342562,5510424,Rock,Balls to the Wall,Accept
2,1,2,0.99,1,Restless and Wild,"F. Baltes, R.A. Smith-Diesel, S. Kaufman, U. Dirkscneider & W. Hoffman",252051,4331779,Rock,Restless and Wild,Accept
3,2,4,0.99,1,Put The Finger On You,"Angus Young, Malcolm Young, Brian Johnson",205662,6713451,Rock,For Those About To Rock We Salute You,AC/DC
4,2,4,0.99,1,Inject The Venom,"Angus Young, Malcolm Young, Brian Johnson",210834,6852860,Rock,For Those About To Rock We Salute You,AC/DC
5,2,4,0.99,1,Evil Walks,"Angus Young, Malcolm Young, Brian Johnson",263497,8611245,Rock,For Those About To Rock We Salute You,AC/DC
6,2,4,0.99,1,Breaking The Rules,"Angus Young, Malcolm Young, Brian Johnson",263288,8596840,Rock,For Those About To Rock We Salute You,AC/DC
7,3,8,0.99,1,Dog Eat Dog,AC/DC,215196,7032162,Rock,Let There Be Rock,AC/DC
8,3,8,0.99,1,Overdose,AC/DC,369319,12066294,Rock,Let There Be Rock,AC/DC
9,3,8,0.99,1,Love In An Elevator,"Steven Tyler, Joe Perry",321828,10552051,Rock,Big Ones,Aerosmith
10,3,8,0.99,1,Janie's Got A Gun,"Steven Tyler, Tom Hamilton",330736,10869391,Rock,Big Ones,Aerosmith
11,3,8,0.99,1,Deuces Are Wild,"Steven Tyler, Jim Vallance",215875,7074167,Rock,Big Ones,Aerosmith
12,3,8,0.99,1,Angel,"Steven Tyler, Desmond Child",307617,9989331,Rock,Big Ones,Aerosmith
13,4,14,0.99,1,Right Through You,Alanis Morissette & Glenn Ballard,176117,5793082,Rock,Jagged Little Pill,Alanis Morissette
14,4,14,0.99,1,Not The Doctor,Alanis Morissette & Glenn Ballard,227631,7604601,Rock,Jagged Little Pill,Alanis Morissette
15,4,14,0.99,1,Bleed The Freak,Jerry Cantrell,241946,7847716,Rock,Facelift,Alice In Chains
16,4,14,0.99,1,Confusion,"Jerry Cantrell, Michael Starr, Layne Staley",344163,11183647,Rock,Facelift,Alice In Chains
17,4,14,0.99,1,Por Causa De Você,,169900,5536496,Jazz,Warner 25 Anos,Antônio Carlos Jobim
18,4,14,0.99,1,Angela,,169508,5574957,Jazz,Warner 25 Anos,Antônio Carlos Jobim
19,4,14,0.99,1,Master Of Puppets,Apocalyptica,436453,14375310,Metal,Plays Metallica By Four Cellos,Apocalyptica
20,4,14,0.99,1,Welcome Home (Sanitarium),Apocalyptica,350197,11406431,Metal,Plays Metallica By Four Cellos,Apocalyptica
21,4,14,0.99,1,Set It Off,Audioslave/Chris Cornell,263262,6321091,Rock,Audioslave,Audioslave
22,5,23,0.99,1,Your Time Has Come,"Cornell, Commerford, Morello, Wilk",255529,8273592,Alternative & Punk,Out Of Exile,Audioslave
23,5,23,0.99,1,Dandelion,"Cornell, Commerford, Morello, Wilk",278125,9003592,Alternative & Punk,Out Of Exile,Audioslave
24,5,23,0.99,1,Rock 'N' Roll Music,Chuck Berry,141923,2276788,Rock And Roll,BackBeat Soundtrack,BackBeat
25,5,23,0.99,1,Moon germs,Billy Cobham,294060,9714812,Jazz,The Best Of Billy Cobham,Billy Cobham
26,5,23,0.99,1,Super Terrorizer,,319373,10513905,Metal,Alcohol Fueled Brewtality Live! [Disc 1],Black Label Society
27,5,23,0.99,1,Heart Of Gold,,194873,6417460,Metal,Alcohol Fueled Brewtality Live! [Disc 2],Black Label Society
28,5,23,0.99,1,Evil Woman,,204930,6655170,Metal,Black Sabbath,Black Sabbath
29,5,23,0.99,1,Cornucopia,"Tony Iommi, Bill Ward, Geezer Butler, Ozzy Osbourne",234814,7653880,Metal,Black Sabbath Vol. 4 (Remaster),Black Sabbath
30,5,23,0.99,1,Bowels Of The Devil,,223216,7324125,Alternative & Punk,Body Count,Body Count
31,5,23,0.99,1,Body Count Anthem,,166426,5463690,Alternative & Punk,Body Count,Body Count
32,5,23,0.99,1,Jerusalem,Roy Z,402390,13194463,Metal,Chemical Wedding,Bruce Dickinson
33,5,23,0.99,1,When My Left Eye Jumps,Al Perkins/Willie Dixon,235311,7685363,Blues,The Best Of Buddy Guy - The Millenium Collection,Buddy Guy
34,5,23,0.99,1,Meditação,Tom Jobim - Newton Mendoça,148793,4865597,Latin,Prenda Minha,Caetano Veloso
35,5,23,0.99,1,Esse Cara,Caetano Veloso,223111,7217126,Latin,Prenda Minha,Caetano Veloso
36,6,37,0.99,1,"Bye, Bye Brasil",,283402,9499590,Latin,Minha Historia,Chico Buarque
37,7,38,0.99,1,Atras Da Porta,,189675,6132843,Latin,Minha Historia,Chico Buarque
38,7,38,0.99,1,Tatuagem,,172120,5645703,Latin,Minha Historia,Chico Buarque
39,8,40,0.99,1,Morena De Angola,,186801,6373932,Latin,Minha Historia,Chico Buarque
40,8,40,0.99,1,A Banda,,132493,4349539,Latin,Minha Historia,Chico Buarque
41,9,42,0.99,1,Com Açúcar E Com Afeto,,175386,5846442,Latin,Minha Historia,Chico Buarque
42,9,42,0.99,1,Meu Caro Amigo,,260257,8778172,Latin,Minha Historia,Chico Buarque
43,9,42,0.99,1,Trocando Em Miúdos,,169717,5461468,Latin,Minha Historia,Chico Buarque
44,9,42,0.99,1,Gota D'água,,153208,5074189,Latin,Minha Historia,Chico Buarque
